"Area";"Gender";"Age";"Occupation";"Education level";"Year";"Alt.1a";"Alt.1b";"Alt.1c";"Alt.1d";"Alt.1e";"Alt.2a";"Alt.2b";"Alt.2c";"Alt.2d";"Alt.2e";"Alt.3a";"Alt.3b";"Alt.3c";"Alt.3d";"Alt.3e";"Alt.4a";"Alt.4b";"Alt.4c";"Alt.4d";"Alt.4e";"Alt.5a";"Alt.5b";"Alt.5c";"Alt.5d";"Alt.5e";"Alt.6a";"Alt.6b";"Alt.6c";"Alt.6d";"Alt.6e";"Alt.7a";"Alt.7b";"Alt.7c";"Alt.7d";"Alt.7e";"Alt.8a";"Alt.8b";"Alt.8c";"Alt.8d";"Alt.8e";"Alt.9a";"Alt.9b";"Alt.9c";"Alt.9d";"Alt.9e";"Alt.10a";"Alt.10b";"Alt.10c";"Alt.10d";"Alt.10e";"Parks and green areas";"Diversity in housing supply";"Invest in public areas";"Communications";"Culture and leisure";"Education";"Care";"School";"Safety";"Ecological sustainability";"Disagreement 1";"Disagreement 2";"Disagreement 3"
"Vatthagen";"Man";"65+";"Senior citizen";"College/University";"5-9 years";6;8;9;6;8;8;9;9;5;10;8;9;5;6;9;6;10;9;9;10;8;8;8;9;7;8;8;6;9;10;9;9;10;8;9;9;9;9;9;9;10;10;10;6;7;8;9;9;10;8;3;8;3;11;4;9;6;6;9;3;2;2;2
"Dragonvägen";"Woman";"55-64";"Student";"Other post-secondary education";"0-4 years";10;11;10;10;11;10;9;10;4;8;6;10;8;8;9;9;10;10;8;9;8;6;9;10;8;11;11;11;11;11;9;10;10;10;11;11;11;11;11;10;10;10;11;5;9;11;11;9;10;11;8;6;7;6;7;10;10;10;10;6;5;5;5
"Runby";"Man";"65+";"Senior citizen";"College/University";"5-9 years";10;5;6;11;7;8;9;10;4;7;6;8;9;8;10;9;8;6;10;7;7;7;7;7;7;12;8;13;10;11;8;9;8;10;12;10;11;12;9;13;12;14;13;7;9;8;9;10;10;13;1;2;5;3;1;4;6;7;9;0;7;4;6
"Frestaby";"Man";"55-64";"Sickness or activity benefit";"Elementary school or equivalent compulsory school";"5-9 years";11;11;4;7;7;9;13;6;5;7;9;11;8;5;11;8;6;8;6;8;13;6;12;12;10;14;6;12;14;11;10;9;14;13;9;12;12;12;13;14;13;12;8;4;12;11;11;11;4;11;9;1;7;9;13;13;14;14;14;2;9;10;9
"Runby";"Man";"35-44";"Employee";"College/University";"5-9 years";14;14;14;14;14;5;8;6;3;8;9;10;11;7;14;5;6;14;11;14;14;14;14;8;14;14;14;14;14;14;9;14;9;14;14;14;14;14;14;9;14;8;11;9;14;14;14;14;14;14;11;3;5;14;11;14;13;14;13;11;7;5;3
"Vilunda/Korpkulla";"Woman";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";14;13;12;14;14;14;14;7;7;7;6;4;8;13;13;14;14;14;14;14;12;14;12;14;11;10;11;12;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;12;14;12;14;12;13;13;13;13;13;13;13;13;13;13;9;9;5
"Sigma/Apoteksskogen";"Man";"65+";"Senior citizen";"Elementary school or equivalent compulsory school";"5-9 years";11;8;5;9;8;10;8;8;5;6;8;5;8;8;10;6;8;8;8;6;9;8;10;10;10;9;6;9;10;10;9;9;10;10;10;11;11;10;10;10;11;10;9;9;6;9;8;9;9;10;2;0;0;0;0;0;0;0;0;0;6;5;6
"Odenslunda";"Woman";"35-44";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";12;8;5;11;7;13;12;8;3;9;12;11;5;6;7;14;13;6;12;12;13;8;10;8;8;14;6;9;10;7;11;14;11;8;10;11;14;12;13;12;14;13;12;7;14;9;14;9;11;12;5;6;7;13;14;12;9;12;13;4;10;2;9
"Södra Prästgårdsmarken";"Woman";"55-64";"Sickness or activity benefit";"Other post-secondary education";"5-9 years";14;10;8;11;7;10;9;11;9;3;8;10;9;2;11;9;10;12;7;7;14;8;11;9;7;14;11;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;7;7;7;7;7;7;7;10;3;3;8;10;11;14;14;14;7;9;10;8
"Odenslunda";"Man";"55-64";"Employee";"College/University";"5-9 years";10;10;10;10;7;10;10;10;6;10;10;10;6;9;9;9;5;5;11;10;10;9;9;8;7;11;11;11;11;11;8;8;11;8;9;9;9;9;6;6;9;8;8;6;8;9;9;6;6;9;4;0;0;0;0;0;0;0;0;0;4;5;9
"Hasselgatan";"Woman";"25-34";"Leave of absence";"High school, Nordic folk high school, or equivalent";"5-9 years";13;8;8;9;8;8;6;5;4;7;6;9;5;8;7;5;9;8;6;7;13;10;11;6;5;7;7;7;7;7;8;14;9;14;14;13;8;6;5;8;9;14;10;3;8;8;8;7;12;7;7;2;3;5;14;11;11;11;14;1;10;7;7
"Odenslunda";"Man";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";6;9;9;9;7;11;9;7;7;7;11;7;7;7;7;8;10;8;8;7;9;9;7;7;7;11;7;7;7;7;10;8;7;7;7;10;8;7;7;7;9;8;9;7;7;9;9;7;7;7;4;3;0;0;0;0;0;0;0;0;7;7;7
"Folkparksområdet";"Man";"25-34";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";11;9;10;7;7;8;8;4;9;7;7;8;6;7;7;7;7;7;7;7;9;5;10;7;7;8;9;13;13;8;7;7;7;7;7;8;10;10;4;8;7;7;7;7;7;7;7;7;7;7;4;4;3;4;3;5;4;12;7;4;9;8;5
"Runby Backar/Lövsta";"Man";"55-64";"Employee";"College/University";"5-9 years";9;8;6;8;7;9;8;8;6;7;9;6;8;8;8;9;8;10;8;7;8;8;8;8;6;6;8;9;12;12;8;9;10;8;9;8;11;10;8;8;11;8;8;5;7;9;8;9;8;11;1;2;1;3;1;6;6;5;2;3;6;4;6
"Messingen/Optimus";"Man";"25-34";"Student";"College/University";"10 or more years";14;0;0;14;14;0;0;0;14;0;0;14;0;14;14;0;0;0;0;14;0;14;0;0;14;14;0;14;14;14;0;14;0;14;14;0;14;14;14;14;14;0;14;14;14;14;14;14;14;14;12;0;0;0;12;12;12;12;12;14;10;0;0
"Sjukyrkoberget";"Man";"55-64";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";10;8;9;9;7;9;9;6;6;9;5;8;8;8;13;10;3;5;6;10;11;8;14;6;8;4;12;10;10;10;7;9;8;8;8;8;12;12;11;8;8;6;6;6;8;9;8;8;10;12;11;4;9;1;2;10;7;10;1;5;4;4;0
"Vilunda/Korpkulla";"Woman";"55-64";"Employee";"College/University";"5-9 years";14;11;8;10;10;14;14;4;3;0;8;13;8;8;14;14;9;9;11;12;11;0;14;3;5;14;14;14;14;14;14;14;14;14;14;14;14;10;8;12;14;14;8;11;4;14;14;11;14;14;10;8;1;9;4;12;13;14;11;7;10;10;10
"Hasselbacken";"Man";"55-64";"Senior citizen";"Elementary school or equivalent compulsory school";"5-9 years";11;4;4;11;11;11;11;3;3;3;3;10;3;11;11;7;7;7;7;7;3;11;3;11;11;10;8;9;11;11;11;8;11;10;9;8;9;10;11;5;11;11;7;4;4;11;6;9;8;9;6;11;2;5;3;7;12;8;9;1;10;5;3
"Vilunda/Korpkulla";"Man";"55-64";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";9;8;5;9;9;9;9;8;5;7;8;8;9;9;7;9;8;8;9;10;9;8;10;6;9;9;6;9;10;10;8;10;10;8;10;9;10;9;8;9;9;9;9;7;7;9;8;7;7;7;6;7;5;11;10;10;11;11;8;8;9;8;7
"Prästgårdsmarken";"Man";"35-44";"Employee";"College/University";"0-4 years";14;8;0;8;8;8;8;8;0;8;5;3;8;8;14;4;2;6;5;14;8;5;14;6;0;14;6;8;6;10;8;8;8;8;8;8;11;6;6;8;10;8;9;8;0;8;8;8;6;8;4;0;5;14;0;10;9;10;9;2;10;10;10
"Norra Bollstanäs";"Woman";"55-64";"Long-term sick leave (more than 3 months)";"High school, Nordic folk high school, or equivalent";"5-9 years";12;12;12;12;7;12;8;6;8;12;7;11;8;6;7;7;8;10;9;12;9;8;8;9;6;8;8;9;12;12;11;9;11;11;6;6;12;12;8;7;9;9;8;8;6;8;9;8;9;11;11;7;4;6;3;13;8;13;12;13;5;5;4
"Brunnby-Vik";"Man";"65+";"Senior citizen";"Doctorate";"5-9 years";8;8;8;10;8;11;8;6;6;10;8;4;9;9;8;8;9;5;6;8;6;6;8;8;8;9;8;8;9;9;8;8;9;8;9;8;9;9;8;6;8;8;8;6;7;9;8;10;10;10;9;7;7;9;6;8;10;10;10;8;4;3;3
"Sigma/Apoteksskogen";"Woman";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";9;10;10;11;10;7;10;8;8;8;11;7;9;11;11;11;9;9;11;7;11;8;8;8;11;11;9;11;11;10;9;11;11;10;10;11;11;9;8;11;10;9;10;8;5;10;10;10;10;10;4;8;3;10;9;6;11;11;12;8;8;5;5
"Södra Bollstanäs";"Man";"45-54";"Self-employed";"College/University";"5-9 years";0;4;14;10;8;7;8;10;0;14;8;6;8;8;8;0;4;4;10;10;10;6;11;13;5;8;8;8;9;10;3;9;9;8;7;8;9;11;6;4;4;8;8;6;10;8;9;6;8;6;1;2;2;14;1;14;10;10;5;0;0;5;8
"Prästgårdsmarken";"Woman";"25-34";"Employee";"Elementary school or equivalent compulsory school";"5-9 years";14;1;1;13;10;0;0;0;7;0;0;0;0;0;0;0;11;0;11;0;12;3;12;7;7;14;0;14;7;7;14;14;14;14;14;14;7;7;7;12;7;7;7;7;7;11;7;11;11;11;14;0;0;12;13;14;14;14;14;14;10;9;4
"Smedby 2";"Woman";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";14;9;14;10;7;9;10;9;7;7;8;9;11;8;9;8;8;9;7;7;9;9;8;9;7;9;10;10;9;9;8;8;11;7;7;9;8;9;8;8;10;9;10;7;7;10;10;10;10;11;9;6;8;11;10;9;12;9;12;9;8;6;4
"Carlslund/Brunnby Park";"Man";"55-64";"Employee";"Other post-secondary education";"5-9 years";4;5;6;8;11;7;7;7;7;13;7;7;7;8;7;6;10;6;6;6;7;7;8;7;7;8;7;7;7;7;7;8;7;7;7;7;7;8;7;7;7;7;7;7;11;7;7;8;7;7;0;0;1;0;1;11;1;11;1;0;0;7;10
"Sigma/Apoteksskogen";"Woman";"35-44";"Other";"College/University";"0-4 years";12;13;14;12;9;14;14;10;11;13;6;13;9;14;14;12;13;9;13;14;13;14;13;14;14;13;11;14;14;14;13;14;12;12;14;12;14;14;13;14;11;11;14;11;14;13;11;12;14;11;10;14;13;13;14;13;13;10;12;10;2;0;8
"Vilunda/Korpkulla";"Man";"55-64";"Employee";"College/University";"5-9 years";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;5;5;5
"Vilunda/Korpkulla";"Woman";"55-64";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;5;5;5
"Norra Bollstanäs";"Man";"45-54";"Employee";"Other post-secondary education";"5-9 years";8;8;8;8;8;9;8;8;6;8;7;7;7;7;7;8;8;8;8;8;8;6;8;6;8;8;8;6;9;9;6;8;8;8;7;6;9;9;8;7;8;8;7;7;7;7;7;7;7;7;1;3;1;1;1;3;1;3;1;1;3;3;6
"Frestaby";"Man";"35-44";"Employee";"College/University";"5-9 years";12;8;5;11;12;13;12;3;6;2;6;9;8;6;9;8;11;10;9;13;12;5;14;9;11;13;5;14;13;13;8;9;8;10;6;6;14;14;12;8;11;9;6;4;4;8;8;9;13;5;2;1;3;8;4;14;9;13;4;2;10;8;7
"Skälby";"Woman";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";14;10;7;7;7;14;14;7;7;7;11;10;10;6;11;10;8;8;9;14;8;8;10;8;10;14;9;14;14;14;13;11;13;11;14;14;14;14;14;14;14;14;14;11;7;14;12;12;14;14;3;0;0;0;0;0;0;0;0;0;9;6;5
"Norra Bollstanäs";"Woman";"25-34";"Leave of absence";"College/University";"0-4 years";12;7;4;8;12;7;7;7;11;7;7;7;7;7;7;7;9;7;7;11;7;7;8;7;7;9;6;8;13;12;8;8;11;8;14;14;11;9;7;7;7;7;7;7;7;11;11;11;11;11;3;1;3;4;3;12;13;11;2;10;8;6;6
"Ekebo";"Man";"25-34";"Job-seeker";"College/University";"10 or more years";11;11;10;9;9;10;10;10;13;8;11;11;11;11;1;10;10;13;13;7;8;8;8;11;8;8;8;8;8;9;8;8;8;8;8;9;9;9;9;9;10;8;8;4;7;10;11;9;14;9;12;6;10;9;5;9;9;9;9;9;3;3;7
"Holmen";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;5;5;5
"Smedby 2";"Man";"55-64";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";11;6;11;11;7;5;11;8;10;7;5;10;6;5;9;4;10;9;9;11;11;11;9;10;10;10;11;10;10;10;11;11;11;11;11;11;11;11;8;8;11;5;11;5;10;10;10;10;10;10;11;5;8;10;11;10;10;10;10;10;8;7;2
"Carlslund/Brunnby Park";"Woman";"25-34";"Student";"College/University";"5-9 years";14;10;14;7;7;14;7;8;7;7;7;9;9;7;12;9;13;10;7;14;14;5;14;7;10;12;12;14;14;14;14;14;10;14;14;14;14;14;7;11;12;10;12;7;10;9;8;12;14;14;12;10;8;11;14;14;13;14;14;14;8;7;3
"Sigma/Apoteksskogen";"Man";"55-64";"Employee";"Elementary school or equivalent compulsory school";"5-9 years";14;14;0;14;14;12;14;3;14;3;8;8;9;9;8;10;10;10;9;9;14;11;11;14;11;11;8;11;14;14;12;14;14;11;12;12;14;12;12;10;14;10;11;3;11;11;10;12;12;12;14;14;10;10;5;10;10;14;5;7;10;10;0
"Runby";"Woman";"55-64";"Senior citizen";"College/University";"5-9 years";14;8;4;11;7;14;14;9;9;4;9;9;9;12;14;6;8;7;7;7;7;7;7;7;7;9;9;9;14;10;8;6;12;8;14;14;14;11;8;13;14;14;14;4;4;14;14;14;14;14;8;10;6;11;8;11;11;11;14;10;10;9;4
"Södra Bollstanäs";"Woman";"45-54";"Employee";"College/University";"5-9 years";9;8;6;8;9;7;8;6;3;9;8;8;8;8;7;7;12;13;4;13;12;4;8;6;8;9;4;4;13;13;7;10;7;10;7;8;14;9;9;7;13;14;8;7;7;7;9;2;8;8;4;5;8;10;10;13;7;14;9;7;3;4;3
"Frestaby";"Man";"65+";"Senior citizen";"Other post-secondary education";"5-9 years";10;8;8;8;11;10;8;8;6;7;8;8;9;7;7;8;10;5;8;9;6;8;6;10;7;8;6;8;8;7;7;9;9;8;7;9;9;10;7;7;9;8;7;7;7;10;9;9;8;8;5;1;1;3;2;4;5;5;6;7;6;6;6
"Södra Bollstanäs";"Man";"55-64";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";14;8;5;13;7;14;14;6;6;7;6;6;6;10;14;6;6;6;6;14;14;0;14;0;14;14;12;14;14;12;14;14;14;14;14;14;14;14;8;14;9;9;14;14;6;14;14;12;14;14;7;7;7;10;12;14;12;14;8;7;7;5;0
"Dragonvägen";"Woman";"55-64";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";9;11;10;7;7;10;7;7;7;7;0;3;6;7;10;2;8;9;8;7;10;8;10;7;7;8;8;8;11;7;3;9;8;7;7;9;10;9;8;8;11;8;9;7;7;5;10;8;9;9;5;4;1;5;0;0;0;0;0;0;6;6;5
"Hasselgatan";"Woman";"55-64";"Employee";"Elementary school or equivalent compulsory school";"5-9 years";6;7;8;7;7;9;9;5;6;3;4;10;8;6;14;6;10;2;11;5;8;6;9;5;11;4;5;11;14;14;9;11;14;8;13;14;13;12;11;10;5;4;12;6;8;13;12;11;14;7;4;0;0;0;0;0;0;0;0;0;7;10;6
"Sigma/Apoteksskogen";"Man";"55-64";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;5;5;5
"Hasselbacken";"Woman";"55-64";"Employee";"College/University";"5-9 years";6;4;11;10;5;10;6;11;0;9;8;0;2;0;12;4;6;5;6;11;4;11;5;11;4;2;11;8;14;14;4;10;9;12;12;14;14;11;6;11;9;9;11;1;4;9;14;6;7;7;8;8;5;10;5;14;11;14;13;5;2;1;1
"Hasselgatan";"Man";"25-34";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";14;7;9;4;10;1;10;9;4;5;4;2;6;8;13;2;3;4;5;6;10;5;9;6;8;5;9;8;14;10;10;12;10;10;11;8;11;8;5;6;11;9;5;5;5;10;9;8;12;14;2;1;0;1;2;7;3;4;3;7;10;1;2
"Smedby arbetsområde";"Woman";"35-44";"Student";"High school, Nordic folk high school, or equivalent";"5-9 years";10;10;13;14;13;10;12;7;7;7;8;10;10;9;13;7;7;7;7;7;14;7;12;8;7;14;14;14;12;9;8;14;13;12;14;14;10;11;5;9;14;14;7;14;11;12;9;12;13;14;3;2;3;4;11;10;4;14;13;11;6;6;4
"Vilunda/Korpkulla";"Man";"65+";"Senior citizen";"College/University";"5-9 years";10;9;5;10;4;9;10;5;5;4;9;9;5;9;8;9;8;4;6;10;6;8;5;10;8;9;5;8;9;10;5;8;13;6;7;5;10;8;8;2;11;11;7;4;5;9;5;6;10;7;8;5;8;6;3;5;10;4;11;3;6;1;2
"Vilunda/Korpkulla";"Woman";"55-64";"Employee";"College/University";"5-9 years";8;10;6;10;9;10;11;6;6;4;8;8;9;10;7;6;10;8;8;9;9;9;8;8;10;8;6;9;10;9;9;8;10;8;8;9;8;8;9;9;10;8;11;8;6;9;8;9;11;10;11;8;2;9;8;7;9;9;12;8;10;10;8
"Skälby";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";10;6;7;7;7;6;6;6;6;11;7;7;7;7;7;8;9;9;5;9;5;10;5;7;7;6;6;6;7;7;8;8;8;8;8;7;7;7;7;7;9;9;7;7;7;9;9;7;7;7;1;0;0;0;0;0;0;0;0;0;3;5;6
"Södra Bollstanäs";"Woman";"65+";"Senior citizen";"Other post-secondary education";"5-9 years";14;9;5;8;5;11;7;9;5;5;11;4;8;11;10;8;11;7;7;7;11;7;7;8;7;10;9;10;11;8;7;10;8;10;10;8;8;8;6;6;8;8;8;11;3;8;8;6;9;8;1;1;1;2;1;2;2;2;2;1;7;7;4
"Dragonvägen";"Woman";"15-24";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";14;14;0;14;14;14;14;0;12;0;14;14;14;14;14;11;14;12;12;13;14;1;13;11;10;14;2;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;10;10;10
"Runby Backar/Lövsta";"Woman";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"10 or more years";8;8;6;8;7;8;8;6;6;6;7;7;7;7;7;8;8;6;8;8;8;8;6;8;7;8;6;8;8;8;8;8;8;8;8;8;8;8;7;7;8;8;8;7;7;8;13;8;10;8;9;9;9;9;12;12;12;12;14;9;9;7;5
"Sigma/Apoteksskogen";"Man";"35-44";"Employee";"College/University";"5-9 years";14;11;0;11;8;7;10;4;8;0;12;11;8;7;2;8;8;14;13;7;13;9;5;14;11;13;3;11;14;14;11;9;14;10;6;8;10;10;8;14;8;13;8;14;7;9;12;8;11;8;12;2;7;6;10;9;10;9;13;9;10;10;10
"Runby";"Man";"65+";"Senior citizen";"Elementary school or equivalent compulsory school";"5-9 years";14;14;11;14;11;11;13;4;10;0;5;13;1;14;14;10;6;3;4;12;10;9;10;13;3;14;11;12;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;5;5;10;14;9;5;14;14;11;13;12;13;14;14;14;14;14;10;7;5
"Norra Bollstanäs";"Woman";"25-34";"Employee";"College/University";"5-9 years";14;5;9;11;8;4;0;14;11;7;1;6;4;11;14;13;11;2;8;5;13;5;11;9;7;12;9;11;14;14;9;12;10;13;14;14;13;10;9;8;14;11;9;7;8;11;8;12;9;14;10;5;8;7;6;12;13;14;11;9;5;10;7
"Hasselbacken";"Woman";"55-64";"Sickness or activity benefit";"High school, Nordic folk high school, or equivalent";"5-9 years";11;12;11;11;11;13;13;8;5;12;5;6;6;11;11;12;13;14;13;14;8;6;6;8;5;5;11;14;14;14;13;13;14;14;13;11;14;13;14;11;14;14;14;13;2;14;9;14;14;14;10;14;14;14;12;13;14;14;14;14;4;4;7
"Grimstaby";"Woman";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";4;8;11;11;8;11;11;6;6;6;4;10;11;10;9;11;11;3;11;3;8;7;8;4;10;9;3;9;11;9;6;11;6;10;8;11;9;9;6;6;11;11;11;9;4;5;5;6;11;11;1;1;5;8;5;11;8;10;11;4;7;7;6
"Sigma/Apoteksskogen";"Man";"65+";"Senior citizen";"College/University";"5-9 years";14;14;0;14;7;14;14;0;14;0;0;14;14;14;14;14;14;14;14;14;14;14;14;14;14;0;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;14;7;14;14;14;14;14;3;3;3;6;6;9;11;11;12;6;9;2;1
"Smedby 2";"Woman";"55-64";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";9;7;8;9;8;9;9;6;6;7;5;6;6;6;9;8;8;8;8;8;8;6;7;7;7;8;6;8;7;7;8;8;8;8;8;9;9;9;9;9;9;8;9;9;9;7;7;7;7;7;2;3;1;4;2;5;6;9;11;6;5;5;3
"Sigma/Apoteksskogen";"Man";"65+";"Senior citizen";"High school, Nordic folk high school, or equivalent";"5-9 years";10;7;7;7;7;11;8;8;8;3;4;4;7;7;7;11;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;11;7;7;7;7;11;7;7;7;7;11;11;11;11;11;0;0;0;0;0;0;0;0;0;0;10;5;5
"Njursta";"Woman";"65+";"Senior citizen";"College/University";"5-9 years";8;11;8;10;7;10;11;9;5;3;6;4;8;10;13;8;5;10;11;9;9;6;8;5;12;8;6;9;14;14;9;8;12;10;10;10;14;11;8;7;11;12;10;8;5;8;9;8;11;12;7;9;5;8;6;13;12;11;10;4;8;7;3
"Prästgårdsmarken";"Man";"65+";"Senior citizen";"College/University";"5-9 years";6;8;8;9;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;5;3;3
"Hasselbacken";"Woman";"15-24";"Student";"College/University";"0-4 years";7;7;7;7;7;9;8;9;4;11;7;11;7;7;7;12;10;5;3;13;5;11;11;10;10;5;11;4;12;12;5;10;3;8;11;12;12;12;12;6;14;14;14;4;10;5;5;5;5;5;2;2;2;3;4;14;7;14;14;1;0;2;8
"Odenslunda";"Man";"45-54";"Self-employed";"High school, Nordic folk high school, or equivalent";"5-9 years";6;6;9;9;9;11;8;9;3;14;9;5;5;9;10;8;8;10;9;10;7;7;7;7;7;6;6;6;9;9;8;8;8;8;8;8;10;10;9;7;9;9;9;6;9;6;8;8;8;7;6;7;5;5;5;9;9;9;9;4;0;1;0
"Odenslunda";"Woman";"55-64";"Employee";"College/University";"5-9 years";10;5;10;6;9;8;11;6;6;8;6;6;8;9;10;8;11;6;11;6;8;10;6;6;8;8;6;8;11;11;8;11;6;11;11;10;11;11;11;11;11;11;11;6;6;8;6;6;11;11;1;1;1;11;10;12;11;12;12;9;4;4;4
"Infra City";"Woman";"15-24";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";10;12;12;10;10;10;10;7;7;10;7;9;7;7;9;10;13;14;7;14;12;10;9;8;12;9;9;11;14;12;10;12;14;9;7;7;14;14;10;10;13;12;12;6;8;12;12;13;12;12;1;1;8;1;8;13;14;13;14;13;4;2;6
"Sjukyrkoberget";"Man";"35-44";"Employee";"College/University";"10 or more years";10;10;7;4;4;6;10;10;4;10;9;5;9;9;9;9;6;6;9;7;6;6;10;6;4;10;5;8;10;7;6;10;6;9;7;7;11;11;6;6;7;7;9;9;5;12;7;12;12;12;9;10;7;3;3;10;2;12;5;12;7;8;5
"Sjukyrkoberget";"Man";"55-64";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";9;6;9;9;8;8;9;9;3;9;8;7;7;7;7;8;8;7;7;7;10;9;11;3;8;9;6;9;10;8;8;9;10;8;11;11;9;9;7;7;8;10;9;3;6;8;10;10;10;12;3;2;2;5;5;5;5;5;12;5;2;8;7
"Skälby";"Man";"55-64";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";13;5;5;9;7;9;9;9;6;3;6;8;6;7;7;7;7;7;7;7;13;11;11;5;14;11;10;10;10;10;13;13;13;12;14;13;13;13;13;13;10;8;8;7;7;7;7;7;7;7;4;4;4;7;8;11;11;11;10;4;10;10;0
"Sigma/Apoteksskogen";"Man";"55-64";"Employee";"Elementary school or equivalent compulsory school";"5-9 years";7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;0;0;0;0;0;0;0;0;0;0;0;0;0
"Odenslunda";"Woman";"65+";"Senior citizen";"Other post-secondary education";"5-9 years";9;11;8;11;8;11;11;11;8;3;3;4;5;4;5;11;10;7;11;7;10;9;7;10;14;9;9;10;14;14;14;9;14;8;11;11;10;9;10;12;14;13;11;8;7;13;12;14;14;14;7;8;7;14;12;13;13;10;14;9;10;6;7
"Eds Glesbygd";"Man";"45-54";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";9;4;6;8;7;8;7;5;2;4;9;6;7;8;7;3;4;4;9;8;8;8;8;5;7;4;9;9;11;8;9;8;9;7;10;8;11;11;10;10;6;6;9;7;7;8;8;8;9;8;4;3;6;5;4;9;9;9;9;9;8;9;3
"Sigma/Apoteksskogen";"Woman";"15-24";"Other";"High school, Nordic folk high school, or equivalent";"5-9 years";6;6;7;7;7;5;9;7;7;7;6;9;7;7;7;5;9;7;7;7;9;7;7;7;7;9;7;7;7;7;8;10;7;7;7;9;7;7;7;7;9;7;7;7;7;5;7;7;7;7;3;2;1;2;0;0;0;0;0;0;4;4;4
"Vilunda/Korpkulla";"Woman";"55-64";"Self-employed";"High school, Nordic folk high school, or equivalent";"5-9 years";5;6;9;10;7;9;8;10;8;13;8;9;9;8;10;11;10;7;12;13;12;13;13;6;10;10;12;10;14;14;11;14;10;13;8;9;11;11;9;12;14;13;13;12;7;9;6;8;6;9;4;7;10;7;14;14;12;10;13;3;0;2;3
"Sjukyrkoberget";"Man";"55-64";"Employee";"High school, Nordic folk high school, or equivalent";"5-9 years";13;5;11;9;5;14;14;6;4;11;13;14;1;7;7;9;6;11;6;14;12;9;14;5;10;8;9;6;13;13;5;11;6;8;10;8;9;10;8;8;8;10;6;5;8;9;5;10;12;7;5;2;2;10;8;9;5;7;5;2;4;3;5
